,price,description,Zipcodes,districts,house_size,number_of_rooms
11503,242 €,schöne kleine 2ZKB im DG,27580,Bremerhaven,40,1
11504,750 €,St. Magnus / Großzügige 3-Zimmer-Wohnung mit Loggia in begehrter Lage,28717,Lesum,"32,69",1
11505,1.330 €,Wohnen im Schnoor in einer Maisonette-Wohnung mit großer Dachterrasse!,28195,Bremen,86,3
11506,580 €,Tolle Maisonette-Wohnung mit 2 Balkonen und Tiefgarage am Sodenmattsee,28259,Sodenmatt,"68,23",3
11507,445 €,schöne große 3ZKB inkl.Küche,27580,Bremerhaven,90,3
11508,823 €,Zwei Zimmer in Findorffer Tor,28215,Findorff-​Bürgerweide,50,3
11509,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,50,2
11510,425 €,Innenstadtnahe-2-Zimmerwohnung,27568,Bremerhaven,"69,03",3
11511,1.030 €,3 Zimmer Senioren Wohnung an der Weser,28217,Handelshäfen,37,2
11512,1.900 €,Großzügige Hochparterre 7 Zimmer Wohnung / Büro / Praxis/ WG,28203,Steintor,49,2
11513,590 €,Schöne 3 Zimmerwohnung im Herzen von Schönebeck mit großzügigem Balkon,28757,Vegesack,88,3
11514,840 €,Schöne 3 Zimmer Wohnung an der Uni ink. Tiefgaragenstellplatz,28359,Horn,57,2
11515,350 €,1-Zimmer-Apartment mit Flair und Blick ins Grüne,28717,Lesum,50,2
11516,1.200 €,"""Blueline"" - 4 Zi.-Neubauwohnung samt Außenstellplatz in der Neustadt!",28201,Buntentor,50,2
11517,350 €,Schöne 2-Zimmer Wohnung in Bremerhaven!,27570,Bremerhaven,82,3
11518,275 €,Single-Wohnung in ruhiger Lage!,28717,Lesum,162,7
11519,1.175 €,"""Downtown"" - 3 Zi.-Neubauwohnung samt Außenstellplatz im Stadtkern",28195,Bremen,65,3
11520,695 €,Tolle 3 Zi Wohnung ruhige Lage in Gröpelingen Lindenhof,28237,Gröpelingen,40,1
11521,631 €,Ihre neue Wohnung: individuelle 3-Zimmer-Wohnung,28213,Neu,"32,69",1
11522,700 €,"3 ZKB, NUR mit JOB - Hausmanagement",27568,Bremerhaven,86,3
11523,500 €,Kleine 3 Zimmer  Wohnung  in Grollad,28259,Huchting,"68,23",3
11524,950 €,Großzügige Wohnung mit Blick auf die Weser - Bremen Blumenthal,28779,Blumenthal,90,3
11525,425 €,lichtdurchflutete-2-Zimmerwohnung,27568,Bremerhaven,50,3
11526,380 €,2 ZKB in der Innenstadt Bremerhavens mit Fahrstuhl,27568,Bremerhaven,50,2
11527,640 €,RUHIG in HORN! 3-Zimmer-Wohnung mit Balkon in gepflegter Wohnanlage in gesuchter Sackgassenlage,28357,Borgfeld,"69,03",3
11528,585 €,Gemütliche 3-Zimmerwohnung mit individuellem Zuschnitt in Bremen-Woltmershausen,28197,Strom,37,2
11529,490 €,Dachgeschosswohning in Walle zu vermieten (Single-Wohnung),28217,Westend,49,2
11530,242 €,schöne kleine 2ZKB im DG,27580,Bremerhaven,88,3
11531,750 €,St. Magnus / Großzügige 3-Zimmer-Wohnung mit Loggia in begehrter Lage,28717,Lesum,57,2
